outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
9.4,0.00674449541390036,81,627,88.3307725591494,16.8711849539589,22.7506868434974,22.7410521598724,8,7,0
11.1,0.00681083979375488,73,737.5,98.6360870369744,28.0238527400249,23.6196846615025,23.6277086337678,8,8,0
13.3,0.00679381059112207,63,819.5,110.522825565979,38.8408079124115,22.1910182610682,22.18267615533,8,9,0
16.7,0.00684668911879233,51,879.5,125.601177646744,48.7168977952623,21.8090552578508,21.8029526987416,8,10,0
20,0.00693655196020937,42,919,146.17685214958,56.5397297452414,23.0781244047161,23.0897742769342,8,11,0
22.8,0.00686166930342429,35,936.5,173.42913412201,60.4521516481882,22.0924345600571,22.0833571488509,8,12,0.202161567570863
25.6,0.00695804627533216,30,930.5,202.509793239941,58.876478931055,23.2803126229977,23.2901487932925,8,13,0.119196643324742
27.8,0.00686282264325019,26,900.5,226.13461513761,52.5182563913557,21.995504116715,21.9951186231311,8,14,0.82133187822065
27.8,0.00686282264325019,26,850,243.336114111021,43.3679427259506,22.1138879162247,22.1194380833136,8,15,0.764062933475821
27.8,0.00712980309289095,27,777.5,256.388273529395,32.8702597942338,21.4604022974687,21.4587355421185,8,16,1.22847259243358
26.1,0.0069279547274286,29,679.5,267.237500345227,21.8099912756969,23.5614733148499,23.5684221419452,8,17,0.603803077410533
23.3,0.00707483304647446,35,312,277.136945906699,10.6449259435543,22.0966109825625,22.0905688361669,8,18,0.147093559539642
20.6,0.00685491133061957,40,0,286.948864145788,-0.283842438556663,21.8774847418206,21.8725983787624,8,19,0
17.8,0.00690915994049374,48,0,297.376983326772,-10.6361863446242,23.8249202596059,23.8328797992213,8,20,0
16.1,0.00684839009814169,53,0,309.082990457805,-19.9921703636224,22.1605131103499,22.1520121276233,8,21,0
14.4,0.00683437859116103,59,0,322.671358359837,-27.7873777611694,23.6545949609311,23.6568481079225,8,22,0
12.8,0.00688940578166512,66,0,338.45771275089,-33.2985282881787,22.1886544346665,22.1801607415882,8,23,0
12.2,0.00682315929583627,68,0,3.93688338650997,-36.1148808445422,22.0402947024792,22.0359894167472,8,0,0
11.7,0.00679564281010134,70,0,14.0919302324663,-35.1204715303343,21.3174851856151,21.3061869535772,8,1,0
11.7,0.00679564281010134,70,0,30.8401879215348,-30.8318448033031,23.4352200190944,23.4386725934505,8,2,0
11.7,0.00669751682885457,69,0,45.4299081188826,-23.9132077800807,21.4240657340179,21.4160300999215,8,3,0
11.7,0.00669751682885457,69,0,57.9187761559357,-15.1351795356656,21.8550389943367,21.8590188899154,8,4,0
11.1,0.00671653311504091,72,0,68.8407382919748,-5.13977463441448,21.1996307598573,21.1912142017164,8,5,0
11.7,0.00669751682885457,69,276,78.8523026367366,5.59488445661532,23.948411229473,23.953195583996,8,6,0
12.2,0.00672173433789938,67,621,88.6355435009337,16.7019350396525,21.1291146118969,21.1208577838318,8,7,0
13.9,0.00672737768378651,60,737.5,98.9637696010024,27.850716392973,21.6337054059531,21.6405964077253,8,8,0
15.6,0.00675695724098585,54,819.5,110.880185613025,38.6508053447233,22.430879013384,22.4467901367495,8,9,0
