outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneHTGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneHTGstpPrev,hourPrev,totHTGPrev,totHTG
8.3,0.00529708722440635,76,0,180.784385816137,25.3702860598332,19.668234517248,19.6689475444861,12,12,8.3,0.00529708722440635,76,0,165.649270213729,24.0430492280398,19.1863339967361,19.1782581708866,11,3.26197446961247,3.49749324634796
8.9,0.00529910323999323,73,1.5,195.866012073472,23.743325101538,18.3675080605425,18.3605916766643,12,13,8.3,0.00529708722440635,76,0,180.784385816137,25.3702860598332,19.668234517248,19.6689475444861,12,3.49749324634796,2.65224652734976
8.9,0.00529910323999323,73,26.5,209.956661355717,19.3721926644044,18.6678479279478,18.6694708010611,12,14,8.9,0.00529910323999323,73,1.5,195.866012073472,23.743325101538,18.3675080605425,18.3605916766643,13,2.65224652734976,2.13815083292721
9.4,0.00525526753576972,70,25,222.566379651299,12.7378508449942,20.7101237515472,20.7118827272461,12,15,8.9,0.00529910323999323,73,26.5,209.956661355717,19.3721926644044,18.6678479279478,18.6694708010611,14,2.13815083292721,3.25444088227751
9.4,0.00540672325915618,72,0,233.699292034319,4.39206287825942,19.5694127277861,19.5619961191484,12,16,9.4,0.00525526753576972,70,25,222.566379651299,12.7378508449942,20.7101237515472,20.7118827272461,15,3.25444088227751,2.87287299991008
8.9,0.00537232069171049,74,0,243.66380727621,-5.17618306783886,19.4101174198823,19.4081097056983,12,17,9.4,0.00540672325915618,72,0,233.699292034319,4.39206287825942,19.5694127277861,19.5619961191484,16,2.87287299991008,3.50639203328676
8.3,0.00536738720507142,77,0,252.907676634286,-15.5774538925385,18.0688953100306,18.0625443599949,12,18,8.9,0.00537232069171049,74,0,243.66380727621,-5.17618306783886,19.4101174198823,19.4081097056983,17,3.50639203328676,3.59791537081961
8.3,0.00536738720507142,77,0,261.973064458344,-26.5022724662965,18.3639358382421,18.3627530355011,12,19,8.3,0.00536738720507142,77,0,252.907676634286,-15.5774538925385,18.0688953100306,18.0625443599949,18,3.59791537081961,3.59752652903619
7.8,0.00552610115471119,82,0,271.581802648743,-37.6753583568757,20.0116740379716,20.0145767860392,12,20,8.3,0.00536738720507142,77,0,261.973064458344,-26.5022724662965,18.3639358382421,18.3627530355011,19,3.59752652903619,5.40708443184724
7.8,0.00552610115471119,82,0,282.917905170736,-48.7778018411541,20.452073674729,20.4544389719137,12,21,7.8,0.00552610115471119,82,0,271.581802648743,-37.6753583568757,20.0116740379716,20.0145767860392,20,5.40708443184724,4.80805986651933
