outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
20.55,0.00688633667997362,44.75,690.75,155.53934342347,46.7255610067869,23.8730962134704,23.8730962156546,9,11,2.10819489177526
22.75,0.00691017485671837,39.25,860.5,177.71000982548,49.3384415764952,21.2265169668847,21.2265169598722,9,12,5.02801449824942
25.025,0.00691377635736249,34.25,772.5,200.253764318239,47.5742391201374,23.6640731893257,23.6640731901765,9,13,6.52570945475346
25.975,0.0068876147435958,32.25,593.5,219.898790693982,41.9291727331943,22.6873425241469,22.6873418747979,9,14,5.9048367935009
26.1,0.00704810096008964,32.75,520.25,235.742122002649,33.6085662706735,21.5830664660131,21.5830653763756,9,15,5.65839534130131
25.725,0.00710447126156152,33.75,474,248.604239064978,23.6959018370192,21.6643573088792,21.6643583726238,9,16,4.12448362173891
24.325,0.00716576190353321,37,189,259.618524600402,12.9231333835952,23.117289148437,23.1172891484371,9,17,3.07197271298089
22.625,0.0071666530276385,41,0,269.749376705374,1.77340872085189,22.7902843076575,22.7902843076575,9,18,0.287094257119294
20.55,0.00715873427272438,46.5,0,279.808270327339,-9.38548922402433,22.7588882193408,22.7588882193402,9,19,0
19.175,0.00721039848714227,51,0,290.582289582617,-20.1941833926094,23.9054824444209,23.9054824444213,9,20,0
17.625,0.00724845499899741,56.5,0,302.959748655101,-30.2001331322371,22.7452302758138,22.7452302758133,9,21,0.0266120751556379
16.825,0.00725653876513352,59.5,0,317.962360035547,-38.7393198625394,21.2994008738324,21.2994008738324,9,22,0.0477185138124962
15.875,0.00731886497789088,63.75,0,336.404163157982,-44.8380835733065,21.4998084628944,21.499808465328,9,23,0
15.6,0.00733227578588956,65,0,2.0878171942945,-47.7492471155916,21.3062813880891,21.3062813843613,9,0,0
15.15,0.00728729897450687,66.5,0,19.7834518970612,-46.0122535791496,21.4387413099563,21.438741314294,9,1,0
14.55,0.00730083341039446,69.25,0,38.9969651701151,-40.4858388074728,23.0146943006335,23.0146943006389,9,2,0
14.4,0.00730875456344192,70,0,54.6605019508433,-32.2971600121407,22.9195596218515,22.9195595454331,9,3,0
14.025,0.0072858775453179,71.5,0,67.473467486269,-22.4869545841272,22.1173063556877,22.1173063550539,9,4,0
13.9,0.00720073951900225,71.25,0,78.4837329906654,-11.7765500303145,21.4886189048231,21.4886188983974,9,5,0
13.9,0.00717518229972702,71,0,88.6177296298536,-0.649381523733804,22.1685563996525,22.1685564249123,9,6,0
14.275,0.00719678301960588,69.5,156,98.6761012018044,10.5256645926853,23.3999296991494,23.3999296992518,9,7,0
15.3,0.00721882083637773,65.25,648.5,109.453353072518,21.389846809556,22.199381099577,22.199381099577,9,8,0.029509412130322
16.8,0.00724489452474457,59.5,740,121.869275163941,31.491260853582,23.2653572548567,23.2653572548567,9,9,0.123765444489681
18.85,0.00720406879732218,52,805.25,137.019628426282,40.1583318761258,21.8856312349823,21.8856312349813,9,10,1.74442042400915
21.125,0.00725825894081986,45.5,844.5,155.835810220029,46.3825631160317,22.9200177284272,22.9200177317708,9,11,3.31454422411436
23.35,0.00721479236273272,39.5,860.25,177.862288403026,48.9520634071077,23.6553510727564,23.6553514631611,9,12,4.13533036971898
25.175,0.00728564646830636,35.75,850.75,200.231274517112,47.1755180267336,21.6289300089235,21.6289299681648,9,13,6.8692374390192
25.975,0.00715764871020354,33.5,815.75,219.753174614539,41.5452408313844,22.4410579584708,22.4410694637333,9,14,6.41227061751353
26.55,0.0072959149845395,33,756.25,235.537787829071,33.2478318320121,21.3389680026906,21.3389626782487,9,15,6.85861368742078
26.25,0.00733126787909465,33.75,669.25,248.378395546699,23.354827390665,21.3971057712625,21.3971089200901,9,16,5.15244550475058
24.825,0.00738586501418911,37,439.5,259.386762188174,12.594322507708,21.1920076520532,21.1920067720385,9,17,3.53242899838401
22.75,0.00735551844877937,41.75,0,269.51716283141,1.44886296334906,21.237892186381,21.237892186381,9,18,0.965054049547349
21.375,0.00745374955009067,46,0,279.578149254064,-9.71368492325038,22.8808624919051,22.8808624919051,9,19,0.0319971488300859
19.825,0.00758594252534979,51.5,0,290.358953605181,-20.533847421615,22.2340018985861,22.2340018985861,9,20,0.013036676791894
18.575,0.00763106268690362,56,0,302.756298427587,-30.5584694028173,22.9157690578365,22.9157690579936,9,21,0
17.475,0.00772609619180796,60.75,0,317.809967755972,-39.1203144649027,23.5696708843285,23.5696708882418,9,22,0
16.825,0.00775045217830949,63.5,0,336.358630169142,-45.2357960167989,23.2907251365759,23.2907250987527,9,23,0
16.7,0.00774969161327033,64,0,1.97184385687598,-48.1409015074733,23.9284808554513,23.9284808885677,9,0,0
16.25,0.00770680263352756,65.5,0,20.0496626629115,-46.3664638562317,23.3446117461863,23.3446117352681,9,1,0
15.725,0.0076797494445078,67.5,0,39.3415206581884,-40.7876057195486,23.8067495714491,23.806749610639,9,2,0
15.15,0.00770332642143675,70.25,0,55.0250093803341,-32.5516416933555,23.2174565279296,23.217456501553,9,3,0
14.55,0.00764768478327966,72.5,0,67.8339956062511,-22.7074971201777,21.7608593025439,21.7608593025434,9,4,0.0325127285569624
14.4,0.00762582730786912,73,0,78.8366031683828,-11.9770114594046,23.1577508535415,23.1577508539796,9,5,0
14.4,0.00762582730786912,73,0,88.9672960035672,-0.842389328226532,23.0805379240115,23.0805378468003,9,6,0
14.4,0.00762582730786912,73,156,99.0289147509175,10.3281102552526,23.3199567987336,23.3199568525443,9,7,0
15.675,0.0076835936068157,67.75,648.5,109.814695163765,21.175226916992,23.2416512571339,23.2416512570519,9,8,0
16.925,0.00773823075621979,63,740,122.238009081425,31.2456905114156,21.9551510004897,21.9551510004897,9,9,0.404874057480323
19.3,0.00777241520243083,54.5,805.25,137.376890643746,39.8675453993479,22.5312928706773,22.5312928716354,9,10,1.64102329755613
22.1,0.00779570322528917,46,844.5,156.128207014696,46.0383449423819,23.3191994260076,23.3191994293,9,11,3.31766580251194
24.45,0.00771414030039174,39.5,860.25,178.011664410515,48.5651125438513,22.7184485271516,22.7184465781265,9,12,4.72716834359016
25.825,0.00773679313527633,36.5,850,200.208444441285,46.7765378287534,23.8615507827712,23.8615510052533,9,13,5.98690501029743
