outDryBulbTemp;outHumidityRatio;outRelHumidity;directSolarRad;solAzimAngle;solAltAngle;zoneMeanAirTemp;setpoint;month;hour;totHTG
3.3;0.00416759212264254;85;0;3.39330350032307;-70.4247939279367;19.8221131960623;19.8221131998528;1;0;6.19846361937044
3.3;0.00416759212264254;85;0;34.8457644137566;-67.2860057016746;19.4065647061114;19.4065646974164;1;1;6.69150909012832
3.3;0.00406888963283965;83;0;59.8973967586919;-58.9637554178284;19.7889406536658;19.7889407509026;1;2;6.35687917766562
2.8;0.00411684271744327;87;0;75.6910932878918;-48.5787525185293;20.1703759581509;20.170376126204;1;3;6.61927468662193
2.8;0.00402159073240643;85;0;87.2442033582447;-37.5033185494608;19.2243319504511;19.2243319487997;1;4;7.42979781504022
2.8;0.00402159073240643;85;0;96.9828856088336;-26.3132835063499;19.7928415276894;19.7928415550614;1;5;7.09235075483613
2.8;0.0039263677255082;83;0;106.123675219089;-15.3408802449488;19.2771288928726;19.2771288803549;1;6;6.88227793923986
2.2;0.00389803261371961;86;0;115.410561135786;-4.86643378771398;18.3655248307144;18.3655248301646;1;7;7.06964880356822
2.2;0.00380682585778452;84;11;125.403840479628;4.79878756296026;19.0498599685104;19.049859984063;1;8;6.88351390212821
2.8;0.00378358752025011;80;23.5;136.571553648921;13.2633034868773;19.6402368091235;19.640236820256;1;9;6.51226178238876
3.9;0.00378278703917184;74;23.5;149.247831080133;20.0318065923946;18.3812973885223;18.3812973885213;1;10;5.85705971051399
5.6;0.00368372725849371;64;20;163.462598754684;24.5378436537559;18.2444897472862;18.2444897471515;1;11;3.70732865621852
6.7;0.00372647668580222;60;10.5;178.732699784531;26.2779240813019;18.8683715165438;18.8683715166142;1;12;3.89582194602861
7.8;0.00368297459077658;55;14;194.091723636647;25.0220502981277;20.0304486796453;20.030448679759;1;13;5.0096786126292
8.9;0.00367989772797564;51;18.5;208.527481071217;20.938431362264;19.3711266488728;19.3711266488608;1;14;3.33196786293824
8.9;0.00367989772797564;51;17;221.464704564151;14.5005321340234;19.4976452553907;19.4976452554702;1;15;3.14039484280903
8.3;0.00381122703586194;55;11;232.861589599468;6.27672882644515;18.1754347327899;18.1754347327898;1;16;3.70632067134368
7.2;0.00379274212248416;59;0;243.017238954947;-3.22159179215482;18.2208183922015;18.2208183922518;1;17;3.64145083102569
6.7;0.00378896297826707;61;0;252.384135919727;-13.5866473201603;19.0136303381577;19.0136303382063;1;18;5.13887436588552
6.1;0.00381433607592766;64;0;261.504945963986;-24.4968726343631;19.0082134600498;19.0082134599711;1;19;4.70273266650087
5;0.00392103916271977;71;0;271.080825794252;-35.6712422469392;20.9548789961875;20.9548789962293;1;20;7.48127216156075
5;0.00392103916271977;71;0;282.21747806825;-46.7945220538168;20.2549917801563;20.2549917642186;1;21;6.36579003151048
4.4;0.00386553484145306;73;0;297.060876031765;-57.3538886633816;19.939593104633;19.9395930605995;1;22;5.79918390190445
4.4;0.00386553484145306;73;0;320.135825114894;-66.1732213518904;20.6485959893682;20.6485960304626;1;23;6.77477217189629
4.4;0.00386553484145306;73;0;3.64717086750468;-70.2716751784618;19.5356698044235;19.5356698034429;1;0;6.84044308456619
3.9;0.00388566322964324;76;0;34.4562473110228;-67.196404783477;19.128608442864;19.1286084393982;1;1;6.15739496571081
3.9;0.00378278703917184;74;0;59.5675103539433;-58.9216733716923;20.651286435573;20.6512864364917;1;2;7.93383428070564
3.3;0.00377296878224127;77;0;75.4279658964877;-48.5583216078709;18.7372854660838;18.7372854660834;1;3;7.92585444458128
3.3;0.00377296878224127;77;0;87.0238859027635;-37.4898956141514;18.492009845838;18.4920098323597;1;4;5.75007742668323
3.3;0.00367439065598018;75;0;96.7880221126777;-26.2984520936153;19.9758115539409;19.975811554425;1;5;7.87779269942196
2.8;0.00368843690087037;78;0;105.943340466742;-15.3188183551366;18.766854695235;18.7668546951936;1;6;7.60707467050177
2.8;0.00359331521338792;76;0;115.237994032913;-4.83226146253397;18.4728097122006;18.4728096907951;1;7;5.96193124707947
2.8;0.00359331521338792;76;42.5;125.23549122991;4.84971223107344;18.8298173168905;18.8298173462214;1;8;5.97068705553063
3.3;0.00357584358387889;73;201.5;136.40737678999;13.3354606555991;18.8961262437969;18.8961262448232;1;9;4.95012599310194
3.9;0.00352574446642301;69;357.5;149.092386966954;20.1288622799172;18.0177129822362;18.0177129822361;1;10;3.52587097080369
5;0.00347676230592315;63;479;163.325545364945;24.6611546538658;18.6859559878559;18.685955987856;1;11;1.9428833683586
5.6;0.00351007807183548;61;465;178.626016261728;26.424877784997;20.0103533753764;20.0103533753763;1;12;1.45575924015721
6.7;0.0035390926609682;57;234.5;194.023329331322;25.1860581013716;20.9449968076796;20.9449968076796;1;13;1.77678480563729
7.2;0.00346953035927395;54;245.5;208.496976776561;21.1114157577036;18.7684463405171;18.7684463405171;1;14;2.53007338043403
7.8;0.0034809607733737;52;320;221.465603266797;14.6758420919622;19.8575179629314;19.8575179629314;1;15;1.98248600008908
7.2;0.00359877499093106;56;124.5;232.886198477851;6.45032658256562;20.915488459563;20.9154884595637;1;16;2.7954779869756
6.7;0.00360154153088925;58;0;243.059583446597;-3.05145463829329;19.4765137778171;19.4765137778171;1;17;5.31631548752557
6.1;0.00357456998982224;60;0;252.440567316926;-13.4201436613989;18.9030808256351;18.9030808249747;1;18;5.04313418210746
5.6;0.00368372725849371;64;0;261.573640712115;-24.3330995612314;19.7912909213829;19.7912909218856;1;19;6.05880896882571
5;0.00369882186721996;67;0;271.16064240096;-35.5083883235426;19.6301484560975;19.6301484452303;1;20;5.41657659058833
4.4;0.00370573077832698;70;0;282.304927837905;-46.6297828396795;18.3893122953675;18.3893122953628;1;21;6.51835599224216
3.9;0.00367994466353266;72;0;297.138673666868;-57.1836979510713;19.6566581332034;19.6566581333323;1;22;7.21820854701002
3.9;0.00367994466353266;72;0;320.129304070776;-65.9979291670745;18.4471925526225;18.4471925526099;1;23;7.03130655196989
3.9;0.00367994466353266;72;0;3.890448393104;-70.1113066399252;18.7756466343615;18.7756466530854;1;0;5.66400313493021
3.9;0.00367994466353266;72;0;34.0659599862381;-67.0987280593332;19.5861356787084;19.5861356951032;1;1;6.494762776366
3.9;0.00367994466353266;72;0;59.231763622735;-58.8723440457879;20.4401300428522;20.4401300945647;1;2;6.91896982068654
3.3;0.00367439065598018;75;0;75.1586548435812;-48.5313739546221;20.1556028185899;20.1556027248207;1;3;6.36975017150743
3.3;0.00367439065598018;75;0;86.7980025048613;-37.4703283872987;19.5024579525427;19.5024579368295;1;4;6.77260902485057
3.9;0.00357713608605631;70;0;96.588254811083;-26.2775918569256;20.6819439587737;20.6819439712885;1;5;7.72078237838164
3.9;0.00357713608605631;70;0;105.758684279191;-15.2906712760874;20.8521499867572;20.8521500968291;1;6;6.61801610877695
3.3;0.00357584358387889;73;0;115.061646210154;-4.79182864603135;19.3870661858314;19.3870661857581;1;7;7.69575414750341
3.3;0.00347732755126567;71;25;125.06394521847;4.90715192340378;18.8627920587227;18.8627920546723;1;8;6.2744692168062
4.4;0.00349278559840866;66;59.5;136.2407466471;13.4144205388445;20.7791012925641;20.7791012926135;1;9;7.64028496196097
4.4;0.00349278559840866;66;69;148.93552834119;20.2329690773653;19.4889845983423;19.4889845983411;1;10;5.57549653169241
4.4;0.00349278559840866;66;66;163.188503243161;24.791614938185;20.6319901470887;20.6319901472059;1;11;4.79914345020702
5;0.00347676230592315;63;61;178.521069055419;26.5788053229758;18.6397137753614;18.6397137753614;1;12;4.54054680469731
5.6;0.00351007807183548;61;51.5;193.958366230652;25.3565381456384;18.3432038361999;18.343203836165;1;13;2.868522792653
5.6;0.00351007807183548;61;34.5;208.471214906825;21.2901268250023;18.3729465773461;18.3729465773598;1;14;3.27260026786898
5.6;0.00351007807183548;61;33;221.472071935377;14.8560514066965;19.7223090418428;19.7223090418499;1;15;5.43117399569676
5;0.00358777238029456;65;20.5;232.916857661002;6.6280531388864;19.3991166963334;19.3991166905993;1;16;4.66394837674013
5;0.00358777238029456;65;0;243.108310277103;-2.87782695757131;19.1221158793195;19.1221158692377;1;17;5.19436102831835
5;0.00358777238029456;65;0;252.503731417262;-13.25062353433;20.2638454633509;20.2638454659969;1;18;6.75878000023804
4.4;0.00370573077832698;70;0;261.649568517113;-24.1666003470634;19.3668063198827;19.3668063193815;1;19;6.55081090748152
4.4;0.00370573077832698;70;0;271.248469662924;-35.3428812234648;20.118084967249;20.118084989496;1;20;6.52114366086539
4.4;0.00381225775119185;72;0;282.401595230571;-46.4621694119035;20.788523724107;20.7885237713818;1;21;6.86462577723526
4.4;0.00381225775119185;72;0;297.227470482663;-57.0099515913385;20.4613972130159;20.4613971109329;1;22;6.19463482606686
4.4;0.00381225775119185;72;0;320.135770765466;-65.8176306522574;18.1195425026781;18.1195425026774;1;23;7.28009329441062
4.4;0.00381225775119185;72;0;4.12290915406803;-69.9437955352931;20.898565822791;20.8985659153112;1;0;8.80064947675417
3.9;0.00378278703917184;74;0;33.6755465080059;-66.9929840735443;20.6639048830669;20.6639047786677;1;1;6.36984291199737
3.3;0.00377296878224127;77;0;58.8905871203546;-58.8157120065979;19.9163214016511;19.9163213772979;1;2;6.7931748879447
2.2;0.00380682585778452;84;0;74.883426721606;-48.4978449622874;18.0328622961629;18.0328622961627;1;3;7.88248797755206
2.2;0.00380682585778452;84;0;86.5667408846475;-37.4445597069489;20.9317757392032;20.9317760832587;1;4;10.1136127889986
1.7;0.00380431565877515;87;0;96.3837312508336;-26.2506577618179;19.1565848446288;19.156584844624;1;5;9.10376657379143
0.6;0.00371625355376884;92;0;105.56983142325;-15.2564079016542;19.1989764497923;19.1989764655807;1;6;6.93647242544708
0.6;0.00371625355376884;92;0;114.881627915288;-4.74511921757057;19.5308640476334;19.5308642782719;1;7;7.39463960655972
0.6;0.00371625355376884;92;181;124.889302031396;4.97110706585149;19.6548909528757;19.6548910173512;1;8;7.17474534758068
0.6;0.00371625355376884;92;387.5;136.071753888146;13.5001676178516;20.8766803372699;20.8766803416259;1;9;6.89709516268919
2.2;0.00371564568038335;82;443;148.777338582442;20.3440958485943;20.5662043209604;20.566204317542;1;10;4.14843770642695
3.3;0.00367439065598018;75;569;163.051551790157;24.9291782706888;19.4301162869331;19.4301162869331;1;11;3.24369157098439
3.9;0.00367994466353266;72;647.5;178.417937228855;26.7396452531591;20.6334466289004;20.6334466289004;1;12;1.97001070993126
5.6;0.00368372725849371;64;635;193.896911446429;25.5334134608737;19.169633534546;19.169633534546;1;13;0.916369917102289
6.1;0.00369443006255238;62;610;208.45026246893;21.4744736706822;18.1474875500795;18.1474875500795;1;14;0.0460175033258986
6.1;0.00369443006255238;62;422;221.48415944378;15.0410595769172;18.9223043984167;18.9223043984167;1;15;0.553224818144319
5.6;0.00379954695802871;66;132;232.95359457879;6.80980374615415;18.9606290142775;18.9606290142785;1;16;2.19364157874485
5;0.00380991078769238;69;0;243.163425577514;-2.70081309178989;19.3838867360612;19.3838867368457;1;17;4.9461088948629
3.9;0.00388566322964324;76;0;252.573613714535;-13.0781875232959;19.4644007528378;19.4644007599306;1;18;5.64895742609588
3.3;0.00397021825597613;81;0;261.732693129877;-23.9974696864539;20.1202240756534;20.1202241048582;1;19;6.82468973916285
2.8;0.00402159073240643;85;0;271.344244627048;-35.1748087561677;19.1018911149012;19.1018911137211;1;20;7.19952619065289
2.2;0.00398926595981155;88;0;282.507378660438;-46.2917634730091;20.8243181954644;20.8243181988774;1;21;8.68582475208724
2.2;0.00408052590769007;90;0;297.327105977872;-56.8327307150847;18.8045625702267;18.8045625702264;1;22;8.81962387533922
1.7;0.00411243386988078;94;0;320.155035847463;-65.6324235239547;20.2361866493424;20.2361866508778;1;23;8.68867208367756
1.7;0.00411243386988078;94;0;4.34436609466467;-69.7692516845035;20.7272198181558;20.7272199429229;1;0;8.07585817887872
1.7;0.00411243386988078;94;0;33.2856372153773;-66.8791893439733;19.7536576336124;19.7536576266875;1;1;8.27036236345489
1.7;0.00411243386988078;94;0;58.5444173932888;-58.7517279916546;20.7195098648221;20.7195098934489;1;2;8.63970463102457
