outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
30,0.00842036753222163,31,841.5,215.843385311874,68.5735612453563,28.663642103844,99,6,13,28.9,0.00841280490387892,33,794,175.556132375618,71.7198230774262,32.7271489345347,99,12,1.97214982709812,1.86490076969198
31.1,0.00838795514548937,29,807,241.345249072565,60.0912474892896,27.4743298990337,21.0421520015598,6,14,30,0.00842036753222163,31,841.5,215.843385311874,68.5735612453563,28.663642103844,99,13,1.86490076969198,0.93245038484599
31.1,0.00838795514548937,29,723.5,257.019004132264,49.6142809800155,27.1819742630792,23.055165496589,6,15,31.1,0.00838795514548937,29,807,241.345249072565,60.0912474892896,27.4743298990337,21.0421520015598,14,0.93245038484599,1.77277920651671
30.6,0.00843382717571984,30,644.5,268.402082728774,38.5127567812182,27.9064955161889,99,6,16,31.1,0.00838795514548937,29,723.5,257.019004132264,49.6142809800155,27.1819742630792,23.055165496589,15,1.77277920651671,2.24552598122334
29.4,0.00839674433375703,32,453.5,278.000545379139,27.3394363043716,25.3954870521559,23.3772975870337,6,17,30.6,0.00843382717571984,30,644.5,268.402082728774,38.5127567812182,27.9064955161889,99,16,2.24552598122334,0.59036984614924
28.3,0.00862027733101777,35,349.5,287.028270948713,16.4126819110287,24.2173195829925,23.9876017254697,6,18,29.4,0.00839674433375703,32,453.5,278.000545379139,27.3394363043716,25.3954870521559,23.3772975870337,17,0.59036984614924,1.06758663723377
26.7,0.00852161477095494,38,179.5,296.213021582497,6.00465760814571,22.401962376958,22.3977120733389,6,19,28.3,0.00862027733101777,35,349.5,287.028270948713,16.4126819110287,24.2173195829925,23.9876017254697,18,1.06758663723377,0.935982035560731
24.4,0.00860896773428724,44,0,306.094571745717,-3.58020644731494,22.6314379434079,22.6353116952911,6,20,26.7,0.00852161477095494,38,179.5,296.213021582497,6.00465760814571,22.401962376958,22.3977120733389,19,0.935982035560731,0
22.8,0.00870748992554483,49,0,317.116163601794,-11.9598860310363,22.7633749527833,23.083296257621,6,21,24.4,0.00860896773428724,44,0,306.094571745717,-3.58020644731494,22.6314379434079,22.6353116952911,20,0,0
22.2,0.00873886543042019,51,0,329.586076505524,-18.6549030263731,21.7410103541593,21.729540925052,6,22,22.8,0.00870748992554483,49,0,317.116163601794,-11.9598860310363,22.7633749527833,23.083296257621,21,0,0
21.1,0.00864965360295173,54,0,343.521884990721,-23.1220493801373,21.2283422836734,21.641832894583,6,23,22.2,0.00873886543042019,51,0,329.586076505524,-18.6549030263731,21.7410103541593,21.729540925052,22,0,0
20,0.00868136073128521,58,0,1.59004249053084,-24.8978233899613,20.372680869404,22.1797488819016,6,0,21.1,0.00864965360295173,54,0,343.521884990721,-23.1220493801373,21.2283422836734,21.641832894583,23,0,0
19.4,0.00865191131503964,60,0,13.4616745243257,-23.7357746491977,19.5756241097888,21.7918744284572,6,1,20,0.00868136073128521,58,0,1.59004249053084,-24.8978233899613,20.372680869404,22.1797488819016,0,0,0
19.4,0.00865191131503964,60,0,27.6634709537256,-19.7916668474131,19.1426854814459,23.9123662983791,6,2,19.4,0.00865191131503964,60,0,13.4616745243257,-23.7357746491977,19.5756241097888,21.7918744284572,1,0,0
18.9,0.00866607599263251,62,0,40.4498071620907,-13.5092435493105,18.8373078330967,21.7943341775016,6,3,19.4,0.00865191131503964,60,0,27.6634709537256,-19.7916668474131,19.1426854814459,23.9123662983791,2,0,0
18.3,0.00861506383046717,64,0,51.7528559855791,-5.43281010109532,18.3945907593817,22.2114065676459,6,4,18.9,0.00866607599263251,62,0,40.4498071620907,-13.5092435493105,18.8373078330967,21.7943341775016,3,0,0
18.3,0.00861506383046717,64,203,61.8374236833179,3.93949494124072,18.4443280828855,22.5987394917785,6,5,18.3,0.00861506383046717,64,0,51.7528559855791,-5.43281010109532,18.3945907593817,22.2114065676459,4,0,0
18.9,0.00852438491778762,61,486.5,71.1265176334813,14.2059336095909,20.9519015449043,22.9496138850251,6,6,18.3,0.00861506383046717,64,203,61.8374236833179,3.93949494124072,18.4443280828855,22.5987394917785,5,0,0
20,0.00852962945436638,57,622.5,80.1374665164302,25.0490396798291,22.0057647928464,22.0281261526949,6,7,18.9,0.00852438491778762,61,486.5,71.1265176334813,14.2059336095909,20.9519015449043,22.9496138850251,6,0,0
21.1,0.0084872890974036,53,720.5,89.5443816942084,36.1947450800176,21.3402352656797,21.3305374766006,6,8,20,0.00852962945436638,57,622.5,80.1374665164302,25.0490396798291,22.0057647928464,22.0281261526949,7,0,0
23.3,0.00842164782396147,46,797.5,100.419572174281,47.3436576757752,22.0999218283549,22.1105372074305,6,9,21.1,0.0084872890974036,53,720.5,89.5443816942084,36.1947450800176,21.3402352656797,21.3305374766006,8,0,0.0280549421623559
25.6,0.0084039917001522,40,856,114.891620322579,58.0183268721894,22.3324944472971,22.3373023994012,6,10,23.3,0.00842164782396147,46,797.5,100.419572174281,47.3436576757752,22.0999218283549,22.1105372074305,9,0.0280549421623559,0.25197643989123
27.8,0.00836949061044768,35,892.5,137.72558640199,67.102848858041,21.4692538015525,21.4664246408861,6,11,25.6,0.0084039917001522,40,856,114.891620322579,58.0183268721894,22.3324944472971,22.3373023994012,10,0.25197643989123,0.779328775780702
28.9,0.00841280490387892,33,906.5,175.402647619837,71.6987732512647,21.3179572940147,21.3220785406858,6,12,27.8,0.00836949061044768,35,892.5,137.72558640199,67.102848858041,21.4692538015525,21.4664246408861,11,0.779328775780702,1.21055032944858
30.6,0.00843382717571984,30,897,215.701036961883,68.5813227235487,21.879835235278,21.8885322611233,6,13,28.9,0.00841280490387892,33,906.5,175.402647619837,71.6987732512647,21.3179572940147,21.3220785406858,12,1.21055032944858,1.50516612815768
31.7,0.00837939774781766,28,865.5,241.25017026117,60.1139938731578,23.3495843927662,23.3578156395354,6,14,30.6,0.00843382717571984,30,897,215.701036961883,68.5813227235487,21.879835235278,21.8885322611233,13,1.50516612815768,1.86297464314472
31.7,0.00837939774781766,28,812,256.950601013807,49.6425692136295,21.4849745895171,21.4175587109265,6,15,31.7,0.00837939774781766,28,865.5,241.25017026117,60.1139938731578,23.3495843927662,23.3578156395354,14,1.86297464314472,2.12541108314026
31.1,0.00838795514548937,29,738,268.346730044818,38.5425603146596,21.1240748029885,21.1113227155538,6,16,31.7,0.00837939774781766,28,812,256.950601013807,49.6425692136295,21.4849745895171,21.4175587109265,15,2.12541108314026,1.62754147667387
30.6,0.00843382717571984,30,645,277.951363231245,27.3686800697847,22.3759509418482,22.3842713265073,6,17,31.1,0.00838795514548937,29,738,268.346730044818,38.5425603146596,21.1240748029885,21.1113227155538,16,1.62754147667387,1.72948681080311
29.4,0.00839674433375703,32,515.5,286.981391002936,16.4399105385965,23.8896888783616,23.8958660717216,6,18,30.6,0.00843382717571984,30,645,277.951363231245,27.3686800697847,22.3759509418482,22.3842713265073,17,1.72948681080311,1.09020369241942
27.2,0.0085449812908917,37,219,296.165924911026,6.0285251083142,24.1454896352891,99,6,19,29.4,0.00839674433375703,32,515.5,286.981391002936,16.4399105385965,23.8896888783616,23.8958660717216,18,1.09020369241942,1.9859406930126
25,0.00851635165255675,42,0,306.045473684398,-3.56117711183619,21.3144883436436,21.1998784379879,6,20,27.2,0.0085449812908917,37,219,296.165924911026,6.0285251083142,24.1454896352891,99,19,1.9859406930126,0.0621633589897327
23.9,0.00854351532085114,45,0,317.063966802587,-11.9474057615741,22.0038848230422,22.0178730837126,6,21,25,0.00851635165255675,42,0,306.045473684398,-3.56117711183619,21.3144883436436,21.1998784379879,20,0.0621633589897327,0
22.8,0.00852734972825058,48,0,329.530760327253,-18.6508395870684,22.3659104405913,23.3168482856808,6,22,23.9,0.00854351532085114,45,0,317.063966802587,-11.9474057615741,22.0038848230422,22.0178730837126,21,0,0
21.7,0.00864112744005397,52,0,343.465097613452,-23.1280482148428,21.3334687732122,21.319131356945,6,23,22.8,0.00852734972825058,48,0,329.530760327253,-18.6508395870684,22.3659104405913,23.3168482856808,22,0,0
20.6,0.00869888887923309,56,0,1.64477459429208,-24.921496178952,20.7889688229058,23.7499956557711,6,0,21.7,0.00864112744005397,52,0,343.465097613452,-23.1280482148428,21.3334687732122,21.319131356945,23,0,0
20,0.00868136073128521,58,0,13.4141431741864,-23.7694182009285,20.0843341927884,22.7405391013179,6,1,20.6,0.00869888887923309,56,0,1.64477459429208,-24.921496178952,20.7889688229058,23.7499956557711,0,0,0
18.9,0.00866607599263251,62,0,27.6251207160542,-19.833173528507,19.3161431927759,23.3119658689209,6,2,20,0.00868136073128521,58,0,13.4141431741864,-23.7694182009285,20.0843341927884,22.7405391013179,1,0,0
18.9,0.00866607599263251,62,0,40.4204002404433,-13.5562240636562,18.7435398411544,23.2484853735286,6,3,18.9,0.00866607599263251,62,0,27.6251207160542,-19.833173528507,19.3161431927759,23.3119658689209,2,0,0
17.8,0.00860919645680675,66,0,51.7308614810668,-5.4832601024486,18.1801013519241,21.6385159869351,6,4,18.9,0.00866607599263251,62,0,40.4204002404433,-13.5562240636562,18.7435398411544,23.2484853735286,3,0,0
17.8,0.00860919645680675,66,205,61.8209972694484,3.88699719030575,18.0551779504913,23.1443962116163,6,5,17.8,0.00860919645680675,66,0,51.7308614810668,-5.4832601024486,18.1801013519241,21.6385159869351,4,0,0
18.3,0.00847861849558885,63,488.5,71.1139314423009,14.1523082693176,20.4976582015282,22.5036338358244,6,6,17.8,0.00860919645680675,66,205,61.8209972694484,3.88699719030575,18.0551779504913,23.1443962116163,5,0,0
