outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
18.3,0.0101198697520952,75,0,15.3687035013116,-34.0062762813423,16.8498555839265,21.7624063928736,8,1,18.9,0.0102288913422467,73,0,2.34881939305655,-35.2819025093922,17.3566220218832,21.1038350512907,0,0,0
17.8,0.0102001752151198,78,0,31.7471090022121,-29.514743050845,16.3708483041731,23.5372106425407,8,2,18.3,0.0101198697520952,75,0,15.3687035013116,-34.0062762813423,16.8498555839265,21.7624063928736,1,0,0
17.2,0.0101985810511239,81,0,46.0136874185153,-22.4720259252298,15.8734498108022,21.6379895200772,8,3,17.8,0.0102001752151198,78,0,31.7471090022121,-29.514743050845,16.3708483041731,23.5372106425407,2,0,0
16.7,0.0101229628184538,83,0,58.2634741942647,-13.6247981938362,15.4010792180553,21.7488809300815,8,4,17.2,0.0101985810511239,81,0,46.0136874185153,-22.4720259252298,15.8734498108022,21.6379895200772,3,0,0
16.1,0.0100950821648354,86,0,69.0224001101768,-3.59102284393923,14.8925908250216,21.0218866742842,8,5,16.7,0.0101229628184538,83,0,58.2634741942647,-13.6247981938362,15.4010792180553,21.7488809300815,4,0,0
16.7,0.00999903870996346,82,268,78.9300995842885,7.16740125237992,16.4674854346535,23.4270398067288,8,6,16.1,0.0100950821648354,86,0,69.0224001101768,-3.59102284393923,14.8925908250216,21.0218866742842,5,0,0
17.2,0.00994273878595811,79,561,88.6604324202397,18.2928944715966,19.6923442210283,21.0308400349635,8,7,16.7,0.00999903870996346,82,268,78.9300995842885,7.16740125237992,16.4674854346535,23.4270398067288,6,0,0
18.3,0.00984573471489839,73,554.5,98.9966744321774,29.458728407837,22.7836087410661,23.6825853822176,8,8,17.2,0.00994273878595811,79,561,88.6604324202397,18.2928944715966,19.6923442210283,21.0308400349635,7,0,0
20,0.00989784502021958,66,551.5,111.027125473473,40.2714010772356,22.8122396047211,22.8122396047211,8,9,18.3,0.00984573471489839,73,554.5,98.9966744321774,29.458728407837,22.7836087410661,23.6825853822176,8,0,0.641691960841994
22.8,0.0099713592493398,56,709.5,126.468136982945,50.1009415394396,23.1023946309516,23.1023946310019,8,10,20,0.00989784502021958,66,551.5,111.027125473473,40.2714010772356,22.8122396047211,22.8122396047211,9,0.641691960841994,1.79872093554589
25,0.0097520487759291,48,815,147.787232372049,57.7648903628874,23.9377320142991,23.9377320143245,8,11,22.8,0.0099713592493398,56,709.5,126.468136982945,50.1009415394396,23.1023946309516,23.1023946310019,10,1.79872093554589,3.65013038364067
